CAND_ELECTION_YR,CAND_OFFICE,CAND_OFFICE_DISTRICT,CAND_PTY_AFFILIATION,CAND_NAME,CONTRIB_TYPE,CONTRIB_AMT
1992,House,24,Republican,Mcguffey,Individual,5505
1992,House,24,Republican,Mcguffey,Other,11439
1992,House,25,Democratic,Andrews,Individual,381688
1992,House,25,Democratic,Andrews,Other,917310
1992,House,25,Republican,Mckenna,Individual,358206
1992,House,25,Republican,Mckenna,Other,229193
1992,House,25,Republican,Yao,Individual,286492
1992,House,25,Republican,Yao,Other,76248
1992,House,26,Democratic,Caton,Individual,795
1992,House,26,Democratic,Caton,Other,9610
1992,House,26,Republican,Armey,Individual,222985
1992,House,26,Republican,Armey,Other,260943
1992,House,27,Democratic,Ortiz,Individual,153130
1992,House,27,Democratic,Ortiz,Other,139275
1992,House,27,Republican,Kimbrough,Individual,82153
1992,House,27,Republican,Kimbrough,Other,-1925
1992,House,28,Democratic,Tejeda,Individual,157572
1992,House,28,Democratic,Tejeda,Other,148101
1992,House,29,Democratic,Burks,Individual,2100
1992,House,29,Democratic,Burks,Other,3705
1992,House,29,Democratic,Garcia,Individual,124498
1992,House,29,Democratic,Garcia,Other,89829
1992,House,29,Democratic,Green,Individual,226881
1992,House,29,Democratic,Green,Other,475449
1992,House,29,Democratic,Luna,Individual,9035
1992,House,29,Democratic,Luna,Other,0
1992,House,29,Democratic,Reyes,Individual,359136
1992,House,29,Democratic,Reyes,Other,198494
1992,House,29,Republican,Ervin,Individual,443221
1992,House,29,Republican,Ervin,Other,101050
1992,House,29,Republican,Rios,Individual,29342
1992,House,29,Republican,Rios,Other,7230
1992,House,30,Democratic,Hauntz,Individual,200
1992,House,30,Democratic,Hauntz,Other,10850
1992,House,30,Democratic,Johnson,Individual,152161
1992,House,30,Democratic,Johnson,Other,131189
1992,House,30,Republican,Cain,Individual,0
1992,House,30,Republican,Cain,Other,2100
1994,House,1,Democratic,Chapman,Individual,231349
1994,House,1,Democratic,Chapman,Other,378764
1994,House,1,Republican,Blankenship,Individual,23134
1994,House,1,Republican,Blankenship,Other,508976
1994,House,1,Republican,Boerner,Individual,19172
1994,House,1,Republican,Boerner,Other,13380
1994,House,2,Democratic,Groce,Individual,1032
1994,House,2,Democratic,Groce,Other,14755
1994,House,2,Democratic,Wilson,Individual,410097
1994,House,2,Democratic,Wilson,Other,694695
1994,House,2,Republican,Peterson,Individual,100524
1994,House,2,Republican,Peterson,Other,38846
1994,House,2,Republican,Thomas,Individual,2300
1994,House,2,Republican,Thomas,Other,18070
1994,House,3,Republican,Corley,Individual,0
