County,ToPerc2002,ToPerc2004,ToPerc2006,ToPerc2008,ToPerc2010,ToPerc2012,ToPerc2014,ToPerc2016,ToPerc2018
Falls,0.419380149,0.586574905,0.374499949,0.580180367,0.426541297,0.572060217,0.311250888,0.517751479,0.453770936
Fannin,0.411639461,0.634549723,0.405686952,0.589747467,0.388473966,0.58786887,0.592587421,0.597305972,0.525227581
Fayette,0.535523027,0.726183053,0.710312856,0.69444266,0.517382938,0.682005672,0.480839531,0.685982916,0.637557492
Fisher,0.510499139,0.649170335,0.427140884,0.609871535,0.47241867,0.597596504,0.448972232,0.625,0.554977712
Floyd,0.440446927,0.58536036,0.461367673,0.552245345,0.350325623,0.498126464,0.269249632,0.501841395,0.478271919
Foard,0.392339545,0.378602205,0.364864865,0.513358779,0.290322581,0.462616822,0.309345794,0.552742616,0.492290749
Fort Bend,0.395260701,0.644159551,0.365895561,0.676559368,0.450227811,0.670106679,0.363951145,0.649477288,0.593514269
Franklin,0.524896266,0.679734327,0.476306567,0.670126019,0.519169571,0.653468386,0.64881918,0.644169975,0.588027131
Freestone,0.493969298,0.619589779,0.391533,0.628980754,0.440770381,0.68878698,0.394191234,0.644744519,0.559596808
Frio,0.325678497,0.395110024,0.390469146,0.385828267,0.210278029,0.394356504,0.186002206,0.489646105,0.430324994
Galveston,0.349187491,0.56591057,0.34529067,0.562458461,0.416071517,0.607713903,0.340484037,0.601486657,0.536804014
Garza,0.408484434,0.678214524,0.403231235,0.588433087,0.422155689,0.563176895,0.307383041,0.545387725,0.47793845
Gillespie,0.515401469,0.705022443,0.704780705,0.704538967,0.53317923,0.709657356,0.489062758,0.705469698,0.655757386
Glasscock,0.570117955,0.704485488,0.729779957,0.755074425,0.532258065,0.777181208,0.528401585,0.788036411,0.713367609
Gonzales,0.335543976,0.487181541,0.507166096,0.52715065,0.417312253,0.49303916,0.306732755,0.517440913,0.4641385
Gray,0.401854714,0.383845147,0.36583558,0.569100574,0.352910409,0.599154435,0.290111581,0.592627525,0.484284333
Grayson,0.381118881,0.58860501,0.354456272,0.606250413,0.367418813,0.585414502,0.596424081,0.60743366,0.536852022
Gregg,0.357141919,0.554337041,0.335401838,0.579515008,0.369937491,0.65422843,0.34573826,0.609932754,0.522788744
Grimes,0.408184838,0.601458349,0.414124842,0.560764006,0.426581664,0.604798676,0.32873127,0.430897473,0.533063676
Guadalupe,0.362826879,0.590813528,0.617001484,0.643189441,0.406371999,0.648062785,0.363132667,0.62143323,0.545001647
Hale,0.367618689,0.479460936,0.301970303,0.470006592,0.300320434,0.45967454,0.226051462,0.464845154,0.391479774
Hall,0.439098396,0.434983282,0.430868167,0.591674462,0.357410882,0.547384008,0.288168876,0.539831766,0.492950655
Hamilton,0.565551711,0.6863711,0.50702472,0.662226117,0.474331551,0.658387396,0.451187825,0.666849716,0.599461883
Hansford,0.446628364,0.44302988,0.439431397,0.682304786,0.430794165,0.651610761,0.393811075,0.636986301,0.565117046
Hardeman,0.366333333,0.43510074,0.503868147,0.527392739,0.340138534,0.58125972,0.260615504,0.597397476,0.47792314
Hardin,0.322147037,0.604954637,0.307897624,0.588990043,0.424362987,0.623197237,0.323963223,0.596835045,0.531542884
Harris,0.34515687,0.562081843,0.305621625,0.597242203,0.406981635,0.621222752,0.32986118,0.587647267,0.520150051
Harrison,0.380104518,0.606020221,0.350497326,0.612044129,0.415461944,0.660087884,0.345640092,0.603361761,0.515378522
Hartley,0.517321016,0.476529924,0.435738832,0.689333794,0.469222652,0.691726619,0.38951049,0.660390047,0.568253968
Haskell,0.472952087,0.467496132,0.462040177,0.547686741,0.430092845,0.565277778,0.305404633,0.520188624,0.507864489
